,user_id,movie_id,rating,timestamp,cluster
2,22,377,1,878887116,30
5,298,474,4,884182806,68
17,194,274,2,879539794,55
21,167,486,4,892738452,85
22,299,144,4,877881320,62
29,160,234,5,876861185,55
41,284,304,4,885329322,88
46,242,1137,5,879741196,66
49,178,332,3,882823437,55
54,59,196,5,888205088,39
56,87,384,4,879877127,30
58,42,423,5,881107687,30
66,167,232,1,892738341,80
67,60,427,5,883326620,30
71,243,15,3,879987440,97
74,194,165,4,879546723,80
76,178,248,4,882823954,55
81,299,229,3,878192429,62
86,267,518,5,878971773,68
87,42,403,3,881108684,30
92,87,1016,4,879876194,84
107,271,132,5,885848672,16
108,160,174,5,876860807,80
110,198,498,3,884207492,85
111,42,96,5,881107178,50
112,168,151,5,884288058,7
116,271,346,4,885844430,88
120,94,789,4,891720887,54
122,298,317,4,884182806,88
125,194,385,2,879524643,76
129,41,265,3,890687042,75
136,59,23,5,888205300,18
140,174,368,1,886434402,76
141,87,274,4,879876734,75
142,194,1211,2,879551380,42
150,299,955,4,889502823,13
153,269,504,4,891449922,68
154,299,111,3,877878184,16
155,194,466,4,879525876,85
156,160,135,4,876860807,7
162,213,273,5,878870987,55
166,42,794,3,881108425,54
172,5,2,3,875636053,18
179,298,281,3,884183336,88
186,26,258,3,891347949,75
191,213,172,5,878955442,80
193,94,1217,3,891723086,42
196,160,719,3,876857977,60
198,26,930,2,891385985,34
204,56,755,3,892910207,54
206,15,405,2,879455957,30
208,207,476,2,884386343,85
216,52,280,3,882922806,75
219,125,235,2,892838559,10
222,83,234,4,887665548,10
225,194,181,3,879521396,80
226,125,478,4,879454628,40
228,299,14,4,877877775,0
230,269,127,4,891446165,16
238,194,1028,2,879541148,11
240,87,554,4,879875940,61
245,178,568,4,882826555,85
248,207,591,3,876018608,44
251,36,339,5,882157581,75
252,70,746,3,884150257,54
258,299,1018,3,889502324,13
259,194,54,3,879525876,97
267,83,623,4,880308578,61
269,192,476,2,881368243,85
275,83,576,4,880308755,61
277,297,133,4,875240090,16
284,269,367,3,891450023,69
285,59,468,3,888205855,40
310,42,546,3,881105817,40
311,33,872,3,891964230,34
323,270,452,4,876956264,69
327,170,749,5,887646170,60
337,94,343,4,891725009,75
348,133,751,3,890588547,60
349,215,212,2,891435680,80
355,267,410,4,878970785,69
357,240,879,3,885775745,32
366,59,951,3,888206409,34
369,61,678,3,892302309,54
370,271,199,4,885848448,62
371,271,709,3,885849325,94
375,87,40,3,879876917,18
376,207,258,4,877879172,55
379,207,1115,2,879664906,66
380,299,577,3,889503806,68
381,271,378,4,885849447,69
384,94,1224,3,891722802,42
393,194,66,3,879527264,97
397,269,522,5,891447773,68
398,94,265,4,891721889,10
408,269,845,1,891456255,32
412,52,250,3,882922661,10
415,178,731,4,882827532,60
416,236,71,3,890116671,16
422,83,78,2,880309089,50
426,297,716,3,875239422,94
435,213,173,5,878955442,80
436,160,460,2,876861185,76
438,59,715,5,888205921,54
439,5,17,4,875636198,18
440,125,163,5,879454956,39
441,174,315,5,886432749,55
442,114,505,3,881260203,40
443,213,515,4,878870518,85
451,60,60,5,883327734,18
460,213,176,4,878956338,80
467,269,217,2,891451610,62
475,215,211,4,891436202,80
480,299,305,3,879737314,88
485,285,191,4,890595859,62
493,269,246,5,891457067,88
495,70,431,3,884150257,30
496,221,475,4,875244204,85
501,299,303,3,877618584,88
508,298,486,3,884183063,68
525,94,184,2,891720862,39
529,94,720,1,891723593,54
548,221,943,4,875246759,9
552,198,58,3,884208173,97
553,230,680,4,880484286,77
555,192,1061,4,881368891,11
567,231,181,4,888605273,80
575,59,742,3,888203053,54
576,94,744,4,891721462,54
578,26,1015,3,891352136,84
579,56,121,5,892679480,50
585,178,845,4,882824291,9
587,79,303,4,891271203,75
591,269,198,4,891447062,62
595,269,22,1,891448072,0
597,230,742,5,880485043,94
598,269,507,4,891448800,68
601,56,546,3,892679460,40
603,271,1028,2,885848102,13
607,22,376,3,878887112,30
611,269,234,1,891449406,62
613,243,1039,4,879988184,11
614,298,181,4,884125629,62
618,283,1114,5,879297545,66
620,70,217,4,884151119,10
636,60,430,5,883326122,30
637,56,71,4,892683275,50
638,42,274,5,881105817,75
642,15,749,1,879455311,54
643,185,23,4,883524249,97
648,178,317,4,882826915,55
649,178,742,3,882823833,60
655,269,705,2,891448850,94
658,207,13,3,875506839,97
659,42,588,5,881108147,61
661,87,367,4,879876702,30
666,213,235,1,878955115,80
673,5,439,1,878844423,30
674,236,632,3,890116254,77
679,5,225,2,875635723,10
680,22,128,5,878887983,50
686,299,134,4,878192311,16
705,22,80,4,878887227,50
708,15,25,3,879456204,18
710,94,1220,3,891722678,42
719,56,449,5,892679308,30
725,192,948,3,881368302,9
743,83,660,4,880308256,61
747,267,121,3,878970681,16
750,125,80,4,892838865,50
754,42,44,3,881108548,18
761,236,57,5,890116575,16
765,168,866,5,884287927,9
766,37,288,4,880915258,75
767,141,245,3,884584426,55
778,42,1028,4,881106072,84
779,178,433,4,882827834,76
783,56,1047,4,892911290,84
791,221,1010,3,875246662,11
793,207,318,5,877124871,55
796,87,82,5,879875774,50
800,194,172,3,879521474,80
801,94,62,3,891722933,18
802,167,659,4,892738277,44
804,230,304,5,880484286,55
817,37,540,2,880916070,40
821,270,25,5,876954456,0
822,299,387,2,889502756,19
823,94,572,3,891723883,61
829,178,385,4,882826982,76
830,194,23,4,879522819,97
835,207,845,3,881681663,9
842,59,92,5,888204997,50
847,194,152,3,879549996,7
853,59,323,4,888206809,75
857,79,50,4,891271545,18
859,125,190,5,892836309,39
860,284,322,3,885329671,88
863,255,1034,1,883217030,13
870,297,57,5,875239383,0
871,42,625,3,881108873,61
875,230,1444,2,880485726,8
878,36,748,4,882157285,54
887,270,98,5,876955868,16
889,83,215,4,880307940,10
898,221,48,5,875245462,97
910,213,133,3,878955973,7
913,215,421,4,891435704,76
915,174,937,5,886432989,9
919,160,462,4,876858346,76
922,5,110,1,875636493,50
928,83,281,5,880307072,75
931,87,401,2,879876813,30
941,56,91,4,892683275,50
962,185,287,5,883526288,55
963,297,89,4,875239125,16
968,94,216,3,885870665,10
975,60,162,4,883327734,39
