user_id,age,gender,occupation,zip_code
1,24,1,19,85711
3,23,1,20,32067
4,24,1,19,43537
5,33,0,13,15213
6,42,1,6,98101
8,36,1,0,05201
9,29,1,18,01002
10,53,1,9,90703
11,39,0,13,30329
12,28,0,13,06405
14,45,1,17,55106
15,49,0,3,97301
16,21,1,5,10309
21,26,1,20,30068
22,25,1,20,40206
23,30,0,1,48197
25,39,1,4,55107
26,49,1,4,21044
27,40,0,10,30030
28,32,1,20,55369
30,7,1,18,55436
31,24,1,1,10003
33,23,1,18,27510
35,20,0,8,42459
36,19,0,18,93117
37,23,1,18,55105
38,28,0,13,54467
39,41,1,5,01040
40,38,1,17,27514
42,30,1,0,17870
43,29,0,10,20854
45,29,1,14,50233
46,27,0,11,46538
47,53,1,11,07102
48,45,1,0,12550
49,23,0,18,76111
50,21,1,20,52245
51,28,1,3,16509
52,18,0,18,55105
53,26,1,14,55414
54,22,1,6,66315
56,25,1,10,46260
58,27,1,14,52246
59,49,1,3,08403
61,36,1,4,30040
62,27,0,0,97214
63,31,1,11,75240
64,32,1,3,43202
65,51,0,3,48118
66,23,1,18,80521
67,17,1,18,60402
69,24,1,4,55337
70,27,1,4,60067
71,39,1,17,98034
73,24,1,18,41850
74,39,1,17,T8H1N
75,24,1,5,08816
76,20,1,18,02215
77,30,1,19,29379
78,26,1,0,61801
80,34,0,0,52241
81,21,1,18,21218
82,50,1,14,22902
84,32,1,6,55369
85,51,1,3,20003
86,26,1,0,46005
87,47,1,0,89503
88,49,0,10,11701
89,43,0,0,68106
90,60,1,3,78155
91,55,1,11,01913
92,32,1,5,80525
93,48,1,6,23112
95,31,1,0,10707
96,25,0,1,75206
97,43,1,1,98006
98,49,0,6,90291
99,20,1,18,63129
100,36,1,6,90254
101,15,1,18,05146
102,38,1,14,30220
103,26,1,18,55108
104,27,1,18,55108
105,24,1,4,94043
107,39,1,17,60466
108,44,1,3,63130
109,29,1,13,55423
110,19,1,18,77840
111,57,1,4,90630
112,30,1,16,60613
113,47,1,6,95032
114,27,1,14,75013
115,31,1,4,17110
116,40,1,7,97232
118,21,1,0,90210
119,32,1,14,67401
120,47,0,13,06260
121,54,1,10,99603
122,32,0,20,22206
123,48,0,1,20008
124,34,1,18,60615
125,30,1,9,22202
126,28,0,9,20015
127,33,1,12,73439
129,36,0,11,07039
130,20,1,12,60115
131,59,0,0,15237
132,24,1,13,94612
133,53,1,4,78602
134,31,1,14,80236
135,23,1,18,38401
136,51,1,13,97365
137,50,1,3,84408
138,46,1,2,53211
139,20,1,18,08904
140,30,0,18,32250
141,49,1,14,36117
142,13,1,13,48118
143,42,1,19,08832
144,53,1,14,20910
145,31,1,5,V3N4P
146,45,1,1,83814
147,40,0,10,02143
148,33,1,4,97006
149,35,0,11,17325
152,33,0,3,68767
153,25,1,18,60641
155,32,0,13,11217
156,25,1,3,08360
157,57,1,4,70808
158,50,1,3,27606
159,23,0,18,55346
160,27,1,14,66215
163,49,1,0,97212
164,47,1,7,80123
165,20,0,13,53715
167,37,1,13,L9G2B
168,48,1,13,80127
169,52,0,13,53705
172,55,1,11,22207
174,30,0,0,52302
175,26,0,17,21911
176,28,1,17,07030
177,20,1,14,19104
181,26,1,6,21218
182,36,1,14,33884
183,33,1,17,27708
184,37,1,10,76013
185,53,0,10,97403
186,39,0,6,00000
187,26,1,3,16801
188,42,1,18,29440
189,32,1,1,95014
190,30,1,0,95938
191,33,1,0,95161
192,42,1,3,90840
193,29,1,18,49931
194,38,1,0,02154
195,42,1,17,93555
196,49,1,20,55105
198,21,0,18,55414
199,30,1,20,17604
200,40,1,14,93402
201,27,1,20,E2A4H
202,41,0,3,60201
203,25,0,18,32301
204,52,0,10,10960
205,47,1,9,06371
206,14,0,18,53115
207,39,1,11,92037
208,43,1,4,01720
211,66,1,16,32605
212,49,0,3,61401
215,35,1,14,63033
217,22,1,13,11727
218,37,1,0,06513
219,32,1,14,43212
220,30,1,10,78205
223,19,0,18,47906
224,31,0,3,43512
225,51,0,0,58202
226,28,1,18,92103
227,46,1,6,60659
228,21,0,18,22003
229,29,0,10,22903
230,28,0,18,14476
231,48,1,10,01080
232,45,1,17,99709
233,38,1,4,98682
234,60,1,15,94702
235,37,1,3,22973
236,44,0,20,53214
237,49,1,0,63146
238,42,0,0,44124
239,39,1,1,95628
240,23,0,3,20784
241,26,0,18,20001
242,33,1,3,31404
243,33,1,3,60201
244,28,1,19,80525
247,28,1,4,20770
248,25,1,18,37235
249,25,1,18,84103
253,26,0,10,22903
254,44,1,3,42647
255,23,1,5,07029
256,35,0,12,39042
257,17,1,18,77005
258,19,0,18,77801
259,21,1,18,48823
260,40,0,1,89801
261,28,1,0,85202
262,19,0,18,78264
264,36,0,20,90064
265,26,1,6,84601
266,62,0,0,78756
268,24,1,4,19422
269,31,0,10,43201
271,51,1,4,22932
272,33,1,17,53706
273,50,0,13,10016
274,20,0,18,55414
275,38,1,4,92064
276,21,1,18,95064
277,35,0,0,55406
278,37,0,10,30033
279,33,1,14,85251
